customer_id,city,signup_date
C0001,Bengaluru,2024-01-09
C0002,Kolkata,2023-02-01
C0003,Chennai,2023-07-29
C0004,Hyderabad,2023-11-01
C0005,Hyderabad,2024-11-09
C0006,Kolkata,2024-11-25
C0007,Bengaluru,2023-04-17
C0008,Chennai,2024-09-16
C0009,Mumbai,2023-03-05
C0010,Bengaluru,2024-06-08
C0011,Pune,2024-08-14
C0012,Ahmedabad,2024-09-15
C0013,Chennai,2023-06-06
C0014,Kolkata,2024-09-17
C0015,Chennai,2023-03-23
C0016,Kolkata,2023-12-30
C0017,Pune,2023-11-25
C0018,Mumbai,2023-08-10
C0019,Kolkata,2023-01-16
C0020,Hyderabad,2024-06-24
C0021,Pune,2023-08-23
C0022,Delhi,2024-04-08
C0023,Mumbai,2023-10-15
C0024,Ahmedabad,2023-09-19
C0025,Kolkata,2024-09-12
C0026,Chennai,2023-03-08
C0027,Hyderabad,2024-05-30
C0028,Kolkata,2024-06-06
C0029,Pune,2023-09-23
C0030,Hyderabad,2023-07-03
C0031,Hyderabad,2023-01-04
C0032,Mumbai,2024-10-17
C0033,Bengaluru,2024-10-25
C0034,Pune,2023-06-18
C0035,Ahmedabad,2023-01-23
C0036,Bengaluru,2023-03-27
C0037,Kolkata,2023-02-17
C0038,Kolkata,2024-08-04
C0039,Delhi,2024-09-16
C0040,Chennai,2023-04-18
C0041,Mumbai,2024-06-06
C0042,Kolkata,2023-05-06
C0043,Chennai,2023-09-15
C0044,Delhi,2024-02-24
C0045,Bengaluru,2024-05-18
C0046,Ahmedabad,2024-09-04
C0047,Hyderabad,2023-02-01
C0048,Ahmedabad,2023-05-18
C0049,Chennai,2023-07-16
C0050,Kolkata,2023-08-06
C0051,Kolkata,2024-11-29
C0052,Mumbai,2024-06-28
C0053,Delhi,2023-08-13
C0054,Hyderabad,2024-11-11
C0055,Hyderabad,2023-12-16
C0056,Bengaluru,2023-12-17
C0057,Pune,2023-10-31
C0058,Mumbai,2023-04-11
C0059,Chennai,2024-10-16
C0060,Chennai,2023-01-10
C0061,Ahmedabad,2023-05-02
C0062,Chennai,2023-06-10
C0063,Delhi,2023-07-15
C0064,Ahmedabad,2023-04-03
C0065,Hyderabad,2023-01-13
C0066,Delhi,2024-04-19
C0067,Ahmedabad,2024-11-09
C0068,Delhi,2023-03-27
C0069,Bengaluru,2023-07-27
C0070,Hyderabad,2023-12-21
C0071,Kolkata,2024-10-11
C0072,Mumbai,2024-04-30
C0073,Hyderabad,2024-06-20
C0074,Mumbai,2024-02-11
C0075,Chennai,2023-10-19
C0076,Hyderabad,2023-05-20
C0077,Delhi,2024-08-28
C0078,Mumbai,2024-07-16
C0079,Pune,2023-01-18
C0080,Chennai,2024-05-15
C0081,Ahmedabad,2023-03-01
C0082,Hyderabad,2024-06-01
C0083,Mumbai,2024-08-01
C0084,Kolkata,2023-04-02
C0085,Chennai,2023-10-31
C0086,Chennai,2023-03-28
C0087,Bengaluru,2024-02-02
C0088,Delhi,2024-10-11
C0089,Kolkata,2023-02-26
C0090,Kolkata,2023-10-06
C0091,Hyderabad,2024-11-12
C0092,Kolkata,2023-07-30
C0093,Kolkata,2023-04-03
C0094,Hyderabad,2023-12-09
C0095,Ahmedabad,2023-12-22
C0096,Delhi,2024-04-09
C0097,Mumbai,2023-08-08
C0098,Chennai,2024-10-30
C0099,Chennai,2023-12-31
C0100,Mumbai,2023-07-20
C0101,Kolkata,2024-11-03
C0102,Mumbai,2024-10-09
C0103,Kolkata,2023-12-16
C0104,Bengaluru,2023-01-18
C0105,Kolkata,2024-02-22
C0106,Kolkata,2024-01-24
C0107,Kolkata,2023-04-14
C0108,Chennai,2024-03-19
C0109,Hyderabad,2024-08-11
C0110,Chennai,2023-03-16
C0111,Delhi,2024-05-21
C0112,Kolkata,2023-04-09
C0113,Pune,2024-06-08
C0114,Hyderabad,2023-10-21
C0115,Pune,2023-01-05
C0116,Pune,2024-11-07
C0117,Bengaluru,2023-04-27
C0118,Mumbai,2024-02-22
C0119,Mumbai,2023-05-08
C0120,Bengaluru,2024-10-15
C0121,Hyderabad,2024-05-31
C0122,Chennai,2024-07-17
C0123,Chennai,2023-10-30
C0124,Hyderabad,2023-11-24
C0125,Kolkata,2024-03-20
C0126,Pune,2024-07-03
C0127,Bengaluru,2024-08-15
C0128,Kolkata,2023-01-13
C0129,Pune,2024-04-09
C0130,Chennai,2023-03-18
C0131,Pune,2023-07-21
C0132,Pune,2024-08-03
C0133,Bengaluru,2023-06-25
C0134,Pune,2024-07-11
C0135,Kolkata,2023-11-21
C0136,Delhi,2023-06-12
C0137,Pune,2023-08-22
C0138,Bengaluru,2024-01-07
C0139,Delhi,2024-06-19
C0140,Hyderabad,2024-02-29
C0141,Ahmedabad,2024-10-15
C0142,Mumbai,2024-08-30
C0143,Delhi,2024-06-11
C0144,Hyderabad,2024-02-27
C0145,Ahmedabad,2023-07-22
C0146,Kolkata,2023-10-16
C0147,Bengaluru,2023-03-25
C0148,Mumbai,2023-09-19
C0149,Kolkata,2024-10-10
C0150,Bengaluru,2023-10-26
