order_id,product_id,category,quantity,unit_price,line_revenue
O00001,P0001,Fashion,1,142.3,142.3
O00001,P0168,Sports,2,235.04,470.08
O00001,P0045,Beauty,1,119.27,119.27
O00002,P0064,Books,1,444.85,444.85
O00002,P0111,Home,2,58.76,117.52
O00003,P0125,Fashion,2,442.67,885.34
O00003,P0151,Electronics,2,189.87,379.74
O00003,P0112,Beauty,2,58.26,116.52
O00004,P0150,Electronics,1,271.56,271.56
O00005,P0159,Beauty,3,189.88,569.64
O00005,P0026,Beauty,3,123.16,369.48
O00005,P0173,Fashion,3,456.61,1369.83
O00006,P0106,Electronics,2,220.94,441.88
O00006,P0014,Beauty,1,306.02,306.02
O00007,P0116,Beauty,3,124.35,373.05
O00008,P0118,Beauty,1,222.93,222.93
O00008,P0136,Beauty,3,245.28,735.84
O00008,P0049,Beauty,2,131.77,263.54
O00009,P0169,Beauty,3,245.22,735.66
O00009,P0037,Sports,2,209.23,418.46
O00010,P0029,Toys,2,257.1,514.2
O00011,P0011,Beauty,2,143.81,287.62
O00011,P0086,Toys,1,188.25,188.25
O00012,P0045,Electronics,3,58.19,174.57
O00013,P0174,Electronics,1,156.79,156.79
O00013,P0065,Sports,3,184.25,552.75
O00014,P0062,Toys,1,171.1,171.1
O00014,P0067,Electronics,3,143.35,430.05
O00015,P0158,Home,2,203.1,406.2
O00015,P0031,Toys,1,849.73,849.73
O00015,P0017,Beauty,2,42.84,85.68
O00016,P0067,Toys,1,806.31,806.31
O00016,P0069,Books,2,411.87,823.74
O00016,P0112,Home,1,46.83,46.83
O00017,P0178,Electronics,2,144.43,288.86
O00017,P0009,Fashion,2,86.85,173.7
O00017,P0076,Books,1,40.57,40.57
O00018,P0015,Beauty,3,90.84,272.52
O00018,P0120,Sports,1,123.24,123.24
O00018,P0129,Toys,2,79.97,159.94
O00019,P0104,Sports,3,611.23,1833.69
O00020,P0069,Sports,3,350.32,1050.96
O00020,P0168,Books,3,246.86,740.58
O00020,P0102,Fashion,2,135.76,271.52
O00021,P0130,Sports,3,123.41,370.23
O00021,P0173,Books,3,175.24,525.72
O00021,P0019,Sports,1,475.96,475.96
O00022,P0081,Books,3,122.51,367.53
O00022,P0030,Sports,3,401.89,1205.67
O00023,P0130,Toys,2,153.88,307.76
O00023,P0116,Beauty,3,269.69,809.07
O00023,P0154,Sports,1,229.59,229.59
O00024,P0129,Beauty,1,567.25,567.25
O00024,P0137,Electronics,1,149.97,149.97
O00025,P0134,Fashion,1,184.99,184.99
O00025,P0135,Books,1,49.04,49.04
O00026,P0047,Beauty,2,44.08,88.16
O00026,P0043,Beauty,1,214.58,214.58
O00027,P0073,Home,3,57.24,171.72
O00028,P0077,Sports,1,227.6,227.6
O00029,P0040,Books,2,95.27,190.54
O00029,P0169,Electronics,2,163.32,326.64
