review_id,order_id,review_score,delivery_days
R00001,O00001,5,3
R00002,O00002,5,7
R00003,O00003,5,4
R00004,O00004,3,1
R00005,O00005,5,13
R00006,O00006,3,14
R00007,O00007,1,5
R00008,O00008,3,9
R00009,O00009,2,5
R00010,O00010,3,7
R00011,O00011,5,2
R00012,O00012,3,17
R00013,O00013,5,13
R00014,O00014,5,16
R00015,O00015,4,6
R00016,O00016,4,15
R00017,O00017,5,9
R00018,O00018,2,4
R00019,O00019,4,6
R00020,O00020,4,14
R00021,O00021,5,14
R00022,O00022,5,13
R00023,O00023,5,4
R00024,O00024,5,12
R00025,O00025,4,16
R00026,O00026,5,1
R00027,O00027,5,6
R00028,O00028,4,2
R00029,O00029,5,2
R00030,O00030,5,17
R00031,O00031,4,5
R00032,O00032,2,4
R00033,O00033,3,2
R00034,O00034,5,17
R00035,O00035,2,8
R00036,O00036,4,14
R00037,O00037,5,5
R00038,O00038,5,11
R00039,O00039,5,16
R00040,O00040,5,12
R00041,O00041,4,9
R00042,O00042,3,4
R00043,O00043,5,4
R00044,O00044,3,11
R00045,O00045,4,8
R00046,O00046,5,1
R00047,O00047,4,4
R00048,O00048,5,8
R00049,O00049,5,4
R00050,O00050,5,10
R00051,O00051,4,6
R00052,O00052,4,5
R00053,O00053,3,2
R00054,O00054,5,9
R00055,O00055,3,4
R00056,O00056,4,11
R00057,O00057,5,16
R00058,O00058,1,16
R00059,O00059,4,12
R00060,O00060,3,14
R00061,O00061,3,16
R00062,O00062,1,12
R00063,O00063,3,5
R00064,O00064,5,9
R00065,O00065,5,15
R00066,O00066,5,12
R00067,O00067,5,7
R00068,O00068,5,3
R00069,O00069,5,3
R00070,O00070,4,7
R00071,O00071,1,14
R00072,O00072,5,10
R00073,O00073,5,2
R00074,O00074,3,16
R00075,O00075,4,7
R00076,O00076,4,7
R00077,O00077,4,14
R00078,O00078,5,7
R00079,O00079,4,11
R00080,O00080,5,16
R00081,O00081,5,9
R00082,O00082,1,11
R00083,O00083,5,7
R00084,O00084,5,16
R00085,O00085,4,2
R00086,O00086,4,5
R00087,O00087,5,17
R00088,O00088,4,9
R00089,O00089,3,3
R00090,O00090,4,8
R00091,O00091,3,5
R00092,O00092,5,9
R00093,O00093,3,5
R00094,O00094,5,7
R00095,O00095,4,16
R00096,O00096,5,2
R00097,O00097,4,13
R00098,O00098,5,2
R00099,O00099,5,8
R00100,O00100,3,12
R00101,O00101,5,17
R00102,O00102,3,5
R00103,O00103,5,1
R00104,O00104,5,13
R00105,O00105,3,16
R00106,O00106,3,10
R00107,O00107,4,2
R00108,O00108,5,9
R00109,O00109,5,7
R00110,O00110,1,8
R00111,O00111,4,1
R00112,O00112,4,6
R00113,O00113,4,17
R00114,O00114,3,1
R00115,O00115,4,16
R00116,O00116,5,9
R00117,O00117,4,10
R00118,O00118,5,16
R00119,O00119,4,4
R00120,O00120,4,17
R00121,O00121,5,5
R00122,O00122,3,6
R00123,O00123,3,8
R00124,O00124,5,11
R00125,O00125,5,6
R00126,O00126,5,14
R00127,O00127,2,1
R00128,O00128,1,12
R00129,O00129,3,12
R00130,O00130,5,10
R00131,O00131,5,11
R00132,O00132,4,13
R00133,O00133,5,16
R00134,O00134,3,4
R00135,O00135,4,9
R00136,O00136,3,10
R00137,O00137,4,6
R00138,O00138,5,17
R00139,O00139,5,9
R00140,O00140,2,11
R00141,O00141,3,4
R00142,O00142,4,8
R00143,O00143,2,11
R00144,O00144,4,8
R00145,O00145,4,14
R00146,O00146,3,3
R00147,O00147,3,3
R00148,O00148,3,6
R00149,O00149,5,6
R00150,O00150,4,14
R00151,O00151,4,15
R00152,O00152,4,9
R00153,O00153,5,9
R00154,O00154,2,6
R00155,O00155,2,10
R00156,O00156,5,13
R00157,O00157,5,13
R00158,O00158,3,17
R00159,O00159,4,10
R00160,O00160,5,6
R00161,O00161,2,2
R00162,O00162,3,12
R00163,O00163,4,14
R00164,O00164,3,10
R00165,O00165,5,16
R00166,O00166,5,6
R00167,O00167,4,1
R00168,O00168,5,11
R00169,O00169,4,3
R00170,O00170,5,2
R00171,O00171,1,12
R00172,O00172,4,8
R00173,O00173,5,11
R00174,O00174,4,13
R00175,O00175,2,7
R00176,O00176,4,11
R00177,O00177,5,10
R00178,O00178,2,10
R00179,O00179,5,12
R00180,O00180,5,7
R00181,O00181,5,9
R00182,O00182,3,11
R00183,O00183,5,3
R00184,O00184,3,4
R00185,O00185,5,2
R00186,O00186,5,4
R00187,O00187,1,8
R00188,O00188,5,16
R00189,O00189,4,16
R00190,O00190,4,13
R00191,O00191,4,10
R00192,O00192,5,4
R00193,O00193,5,7
R00194,O00194,5,14
R00195,O00195,3,16
R00196,O00196,5,17
R00197,O00197,5,7
R00198,O00198,5,9
R00199,O00199,4,9
R00200,O00200,4,1
R00201,O00201,5,2
R00202,O00202,4,1
R00203,O00203,3,13
R00204,O00204,4,4
R00205,O00205,3,12
R00206,O00206,1,7
R00207,O00207,1,14
R00208,O00208,5,2
R00209,O00209,5,6
R00210,O00210,4,4
R00211,O00211,3,8
R00212,O00212,5,10
R00213,O00213,3,3
R00214,O00214,5,12
R00215,O00215,4,17
R00216,O00216,3,1
R00217,O00217,4,2
R00218,O00218,4,17
R00219,O00219,5,12
R00220,O00220,2,16
R00221,O00221,5,12
R00222,O00222,5,13
R00223,O00223,5,3
R00224,O00224,5,9
R00225,O00225,3,7
R00226,O00226,4,15
R00227,O00227,5,1
R00228,O00228,4,1
R00229,O00229,2,10
R00230,O00230,3,17
R00231,O00231,3,17
R00232,O00232,5,11
R00233,O00233,4,8
R00234,O00234,5,5
R00235,O00235,5,17
R00236,O00236,3,4
R00237,O00237,5,3
R00238,O00238,1,9
R00239,O00239,2,7
R00240,O00240,3,9
R00241,O00241,4,16
R00242,O00242,4,5
R00243,O00243,4,15
R00244,O00244,3,4
R00245,O00245,2,6
R00246,O00246,5,1
R00247,O00247,1,12
R00248,O00248,5,15
R00249,O00249,5,16
R00250,O00250,5,3
R00251,O00251,4,14
R00252,O00252,5,3
R00253,O00253,5,11
R00254,O00254,5,12
R00255,O00255,5,3
R00256,O00256,4,2
R00257,O00257,5,2
R00258,O00258,5,13
R00259,O00259,1,11
R00260,O00260,4,3
R00261,O00261,5,9
R00262,O00262,5,14
R00263,O00263,4,5
R00264,O00264,3,11
R00265,O00265,3,5
R00266,O00266,4,5
R00267,O00267,5,7
R00268,O00268,5,6
R00269,O00269,4,9
R00270,O00270,3,4
R00271,O00271,5,7
R00272,O00272,5,11
R00273,O00273,4,7
R00274,O00274,4,12
R00275,O00275,2,2
R00276,O00276,5,3
R00277,O00277,5,15
R00278,O00278,4,8
R00279,O00279,5,11
R00280,O00280,5,13
R00281,O00281,5,3
R00282,O00282,4,17
R00283,O00283,4,8
R00284,O00284,5,16
R00285,O00285,5,8
R00286,O00286,5,7
R00287,O00287,5,11
R00288,O00288,4,4
R00289,O00289,3,11
R00290,O00290,4,17
R00291,O00291,5,11
R00292,O00292,4,2
R00293,O00293,5,12
R00294,O00294,5,1
R00295,O00295,5,2
R00296,O00296,5,5
R00297,O00297,4,6
R00298,O00298,4,1
R00299,O00299,5,1
R00300,O00300,3,14
R00301,O00301,3,8
R00302,O00302,5,4
R00303,O00303,5,8
R00304,O00304,4,12
R00305,O00305,2,13
R00306,O00306,4,5
R00307,O00307,5,3
R00308,O00308,5,17
R00309,O00309,4,11
R00310,O00310,4,17
R00311,O00311,5,6
R00312,O00312,5,2
R00313,O00313,4,7
R00314,O00314,5,6
R00315,O00315,3,13
R00316,O00316,4,13
R00317,O00317,3,2
R00318,O00318,4,10
R00319,O00319,4,6
R00320,O00320,4,11
R00321,O00321,3,7
R00322,O00322,3,10
R00323,O00323,2,13
R00324,O00324,5,5
R00325,O00325,3,4
R00326,O00326,2,13
R00327,O00327,5,17
R00328,O00328,3,8
R00329,O00329,5,17
R00330,O00330,5,4
R00331,O00331,5,14
R00332,O00332,4,17
R00333,O00333,3,6
R00334,O00334,5,3
R00335,O00335,5,12
R00336,O00336,4,15
R00337,O00337,5,2
R00338,O00338,4,11
R00339,O00339,5,15
R00340,O00340,5,1
R00341,O00341,1,9
R00342,O00342,5,2
R00343,O00343,5,3
R00344,O00344,5,9
R00345,O00345,2,6
R00346,O00346,5,2
R00347,O00347,5,14
R00348,O00348,4,4
R00349,O00349,5,15
R00350,O00350,4,4
R00351,O00351,5,9
R00352,O00352,5,13
R00353,O00353,3,9
R00354,O00354,5,8
R00355,O00355,4,13
R00356,O00356,4,1
R00357,O00357,4,15
R00358,O00358,2,12
R00359,O00359,5,14
R00360,O00360,4,8
R00361,O00361,5,7
R00362,O00362,5,10
R00363,O00363,5,11
R00364,O00364,3,16
R00365,O00365,5,15
R00366,O00366,1,1
R00367,O00367,5,3
R00368,O00368,4,17
R00369,O00369,5,7
R00370,O00370,4,10
R00371,O00371,3,1
R00372,O00372,5,2
R00373,O00373,4,7
R00374,O00374,5,13
R00375,O00375,5,14
R00376,O00376,4,16
