customer_id,total_revenue,order_count,last_order,recency_days,R_score,F_score,M_score,segment
C0001,3219.21,3,2025-12-10,21,4,2,3,Developing
C0002,3311.65,6,2025-12-29,2,4,4,3,High Value
C0004,214.02,1,2025-11-10,51,4,1,1,Developing
C0006,1453.36,2,2024-11-27,399,1,1,2,At Risk
C0007,873.73,2,2025-06-07,207,2,1,1,At Risk
C0009,4056.88,4,2025-02-13,321,1,3,4,Loyal
C0010,4974.6900000000005,4,2025-12-30,1,4,3,4,High Value
C0011,114.57,1,2025-01-29,336,1,1,1,At Risk
C0012,2120.7400000000002,2,2025-08-09,144,3,1,2,Developing
C0013,723.73,2,2024-11-27,399,1,1,1,At Risk
C0014,2854.35,3,2024-09-06,481,1,2,3,At Risk
C0015,2373.7200000000003,4,2025-10-20,72,3,3,3,High Value
C0016,3681.92,4,2025-10-04,88,3,3,4,High Value
C0018,1714.92,4,2025-04-20,255,2,3,2,Loyal
C0019,2055.36,2,2025-03-06,300,1,1,2,At Risk
C0020,2012.8400000000001,1,2025-03-12,294,1,1,2,At Risk
C0021,2222.77,6,2025-09-09,113,3,4,2,Loyal
C0022,3621.78,4,2025-07-06,178,2,3,4,Loyal
C0023,1664.0800000000002,4,2025-09-22,100,3,3,2,Loyal
C0024,4816.719999999999,4,2025-08-06,147,3,3,4,High Value
C0025,3393.4300000000003,6,2025-05-25,220,2,4,3,Loyal
C0026,476.85,2,2025-11-11,50,4,1,1,Developing
C0027,753.66,1,2025-12-04,27,4,1,1,Developing
C0028,982.53,2,2024-07-08,541,1,1,1,At Risk
C0029,1606.59,2,2024-02-22,678,1,1,2,At Risk
C0030,527.33,1,2025-01-24,341,1,1,1,At Risk
C0031,3515.75,5,2025-04-25,250,2,3,4,Loyal
C0032,1438.93,4,2025-11-03,58,4,3,2,Loyal
C0033,1483.0,2,2025-08-26,127,3,1,2,Developing
C0034,4414.18,5,2025-11-10,51,4,4,4,High Value
C0035,4112.52,6,2025-09-20,102,3,4,4,High Value
C0036,1033.66,1,2024-07-26,523,1,1,1,At Risk
C0037,7159.87,7,2025-10-20,72,3,4,4,High Value
C0038,2163.94,2,2025-11-23,38,4,1,2,Developing
C0039,683.94,3,2025-09-23,99,3,2,1,Developing
C0040,3872.14,4,2025-11-24,37,4,3,4,High Value
C0041,3500.35,3,2025-12-16,15,4,2,3,Developing
C0042,3240.14,5,2025-12-16,15,4,4,3,High Value
C0043,558.92,1,2025-12-04,27,4,1,1,Developing
C0044,762.9100000000001,1,2025-11-05,56,4,1,1,Developing
C0045,7780.8,8,2025-12-14,17,4,4,4,High Value
C0046,4830.51,7,2025-11-01,60,4,4,4,High Value
C0047,904.5999999999999,3,2025-09-04,118,3,2,1,Developing
C0048,1120.62,3,2025-05-05,240,2,2,1,At Risk
C0049,3623.83,4,2025-04-18,257,2,3,4,Loyal
C0050,737.28,2,2024-06-30,549,1,1,1,At Risk
C0051,696.75,2,2025-08-13,140,3,1,1,Developing
C0052,2537.7400000000002,3,2025-09-21,101,3,2,3,Developing
C0053,2444.99,4,2025-07-19,165,2,3,3,Loyal
C0054,3000.63,5,2025-06-15,199,2,4,3,Loyal
C0055,2429.6800000000003,4,2025-11-22,39,4,3,3,High Value
C0056,849.24,1,2025-03-16,290,1,1,1,At Risk
C0057,5328.14,6,2025-09-10,112,3,4,4,High Value
C0058,446.58,1,2024-12-13,383,1,1,1,At Risk
C0059,3353.2299999999996,3,2025-03-25,281,1,2,3,At Risk
C0060,2648.47,4,2025-08-10,143,3,3,3,High Value
C0061,2969.28,5,2025-09-13,109,3,4,3,High Value
C0062,6850.76,9,2025-12-13,18,4,4,4,High Value
C0063,2515.33,3,2025-11-02,59,4,2,3,Developing
C0064,1612.2,3,2025-12-25,6,4,2,2,Developing
C0065,1349.8799999999999,4,2025-11-05,56,4,3,2,Loyal
C0066,2413.61,4,2025-07-23,161,2,3,3,Loyal
C0067,3691.1499999999996,4,2025-05-13,232,2,3,4,Loyal
C0068,8401.66,7,2025-08-02,151,2,4,4,Loyal
C0069,4424.9,5,2025-01-23,342,1,4,4,Loyal
C0070,5476.27,6,2025-06-27,187,2,4,4,Loyal
C0071,3525.29,4,2025-09-02,120,3,3,4,High Value
C0072,1761.14,3,2025-09-13,109,3,2,2,Developing
C0073,3517.5600000000004,4,2025-12-19,12,4,3,4,High Value
C0074,1290.36,3,2025-12-02,29,4,2,2,Developing
C0075,1855.8899999999999,4,2025-10-31,61,3,3,2,Loyal
C0076,7118.09,8,2025-06-14,200,2,4,4,Loyal
C0077,3402.51,2,2025-08-16,137,3,1,3,Developing
C0078,1407.29,2,2025-12-03,28,4,1,2,Developing
C0079,3561.88,6,2025-11-15,46,4,4,4,High Value
C0080,972.51,3,2025-05-20,225,2,2,1,At Risk
C0081,479.32000000000005,2,2025-01-26,339,1,1,1,At Risk
C0082,289.08,1,2025-05-24,221,2,1,1,At Risk
C0083,2452.86,6,2025-12-09,22,4,4,3,High Value
C0084,175.5,1,2024-07-28,521,1,1,1,At Risk
C0085,3993.38,5,2025-11-28,33,4,4,4,High Value
C0086,3169.3,6,2025-11-08,53,4,4,3,High Value
C0087,2163.38,2,2024-11-18,408,1,1,2,At Risk
C0088,683.42,1,2024-04-25,615,1,1,1,At Risk
C0089,815.43,2,2025-01-26,339,1,1,1,At Risk
C0090,573.03,1,2024-03-07,664,1,1,1,At Risk
C0091,3472.52,5,2024-07-16,533,1,4,3,Loyal
C0092,1088.45,1,2025-05-27,218,2,1,1,At Risk
C0093,925.88,3,2025-01-12,353,1,2,1,At Risk
C0094,953.0699999999999,2,2025-07-08,176,2,1,1,At Risk
C0095,1626.57,4,2025-04-24,251,2,3,2,Loyal
C0096,4554.5,3,2025-10-21,71,3,2,4,Developing
C0097,5502.26,4,2025-10-10,82,3,3,4,High Value
C0098,633.03,2,2025-08-03,150,2,1,1,At Risk
C0099,5675.51,6,2025-11-05,56,4,4,4,High Value
C0100,2551.16,1,2024-04-23,617,1,1,3,At Risk
C0101,1881.09,4,2025-06-11,203,2,3,2,Loyal
C0102,8192.08,10,2025-10-29,63,3,4,4,High Value
C0104,1060.03,3,2025-10-16,76,3,2,1,Developing
C0105,727.63,1,2024-08-31,487,1,1,1,At Risk
C0106,4136.41,4,2025-11-12,49,4,3,4,High Value
C0107,4860.28,6,2025-11-25,36,4,4,4,High Value
C0108,1552.6,3,2025-06-19,195,2,2,2,At Risk
C0109,2298.1000000000004,3,2024-12-16,380,1,2,3,At Risk
C0110,536.64,1,2024-05-15,595,1,1,1,At Risk
C0111,2438.21,4,2025-12-07,24,4,3,3,High Value
C0112,2818.99,2,2025-08-06,147,3,1,3,Developing
C0113,6973.57,6,2025-08-08,145,3,4,4,High Value
C0114,2416.55,4,2025-12-08,23,4,3,3,High Value
C0115,5302.3099999999995,6,2025-12-16,15,4,4,4,High Value
C0116,1037.32,3,2025-06-04,210,2,2,1,At Risk
C0117,873.99,1,2025-08-07,146,3,1,1,Developing
C0118,329.62,2,2025-10-07,85,3,1,1,Developing
C0119,3932.33,4,2025-11-06,55,4,3,4,High Value
C0120,10124.539999999999,6,2025-06-07,207,2,4,4,Loyal
C0121,2964.4399999999996,3,2025-11-28,33,4,2,3,Developing
C0122,2535.9900000000002,4,2025-09-05,117,3,3,3,High Value
C0123,1201.01,2,2024-10-05,452,1,1,1,At Risk
C0124,1035.57,1,2025-05-27,218,2,1,1,At Risk
C0126,1869.61,5,2025-11-06,55,4,4,2,Loyal
C0127,3734.5899999999997,7,2025-10-05,87,3,4,4,High Value
C0128,3062.92,5,2025-10-07,85,3,4,3,High Value
C0129,1276.28,2,2025-12-27,4,4,1,2,Developing
C0130,2345.65,6,2025-10-24,68,3,4,3,High Value
C0131,2799.95,3,2025-10-30,62,3,2,3,Developing
C0132,1227.26,2,2025-05-07,238,2,1,1,At Risk
C0133,2833.19,2,2025-09-18,104,3,1,3,Developing
C0134,1252.63,2,2024-12-23,373,1,1,1,At Risk
C0135,3697.51,3,2025-06-24,190,2,2,4,At Risk
C0136,3555.53,3,2025-09-12,110,3,2,4,Developing
C0137,2404.65,5,2025-02-21,313,1,4,3,Loyal
C0138,4559.03,7,2025-10-05,87,3,4,4,High Value
C0139,1322.69,3,2025-09-17,105,3,2,2,Developing
C0140,9309.980000000001,5,2025-12-20,11,4,4,4,High Value
C0141,3616.8199999999997,5,2025-10-26,66,3,4,4,High Value
C0142,2266.62,3,2025-06-16,198,2,2,2,At Risk
C0143,1353.3700000000001,4,2025-11-25,36,4,3,2,Loyal
C0144,2563.1,3,2025-08-23,130,3,2,3,Developing
C0145,3885.32,4,2025-11-03,58,4,3,4,High Value
C0146,2202.21,3,2025-07-28,156,2,2,2,At Risk
C0147,2667.4,4,2025-04-22,253,2,3,3,Loyal
C0148,3179.7799999999997,4,2025-03-21,285,1,3,3,Loyal
C0149,7309.57,6,2025-10-28,64,3,4,4,High Value
C0150,117.38,1,2024-03-09,662,1,1,1,At Risk
C0151,351.17,1,2024-12-24,372,1,1,1,At Risk
C0152,3302.85,5,2025-04-08,267,2,4,3,Loyal
C0153,4925.07,5,2025-10-04,88,3,4,4,High Value
C0154,2309.43,3,2024-07-08,541,1,2,3,At Risk
C0155,3092.01,5,2025-09-15,107,3,4,3,High Value
C0156,764.76,2,2024-07-09,540,1,1,1,At Risk
C0157,1339.52,3,2025-09-16,106,3,2,2,Developing
C0158,3336.76,5,2025-12-23,8,4,4,3,High Value
C0159,1908.48,3,2025-10-29,63,3,2,2,Developing
C0160,5373.96,7,2025-10-21,71,3,4,4,High Value
C0161,569.77,3,2025-10-03,89,3,2,1,Developing
